어휘,품사,전체 빈도
시뮬레이션,일반명사,3
악마,일반명사,3
넘어서,동사,3
달,동사,3
무지,일반명사,3
저녁,일반명사,3
역,일반명사,3
눈금,일반명사,3
되돌아오,동사,3
이동,일반명사,3
강물,일반명사,3
풀려나,동사,3
중앙,일반명사,3
잠들,동사,3
나,동사,3
전선,일반명사,3
띠,동사,3
전하,동사,3
능동,일반명사,3
체험,일반명사,3
달,일반명사,3
영원,일반명사,3
지배,일반명사,3
끌어내리,동사,3
연쇄,일반명사,3
건너,동사,3
고백,일반명사,3
엘리베이터,일반명사,3
갇히,동사,3
보정,고유명사,3
사진,일반명사,3
발산,일반명사,3
일으키,동사,3
감싸,동사,3
악기,일반명사,3
들이,동사,3
방출,일반명사,3
맞아떨어지,동사,3
제거,일반명사,3
내재,일반명사,3
목적지,일반명사,3
포함,일반명사,3
확장,일반명사,3
계산법,일반명사,3
박자,일반명사,3
일상,일반명사,3
하이젠베르크,고유명사,3
산책,일반명사,3
집중,일반명사,3
사고,일반명사,3
허점,일반명사,3
매달리,동사,3
대,일반명사,3
줄기,일반명사,3
결맞음,고유명사,3
방사,일반명사,3
반론,일반명사,3
적히,동사,3
벨,고유명사,3
검증,일반명사,3
유럽,고유명사,3
제약,일반명사,3
맡기,동사,3
통제,일반명사,3
충격,일반명사,3
치르,동사,3
절망,일반명사,3
복원,일반명사,3
누적,일반명사,3
꺼내,동사,3
끊어지,동사,3
다가가,동사,3
주관,일반명사,3
여분,일반명사,3
말리,동사,3
희망,일반명사,3
절벽,일반명사,3
접히,동사,3
직후,일반명사,3
이기,동사,3
부풀,동사,3
오르,동사,3
걸어오,동사,3
찍,동사,3
좌표,일반명사,3
우연,일반명사,3
닦,동사,3
세월,일반명사,3
순식간,일반명사,3
눈앞,일반명사,3
중심부,일반명사,3
과학자,일반명사,3
당혹,일반명사,3
은하단,일반명사,3
뒤엉키,동사,3
골짜기,일반명사,3
뒤늦,형용사,3
파악,일반명사,3
연필,일반명사,3
극도,일반명사,3
넘어지,동사,3
핵력,일반명사,3
빈자리,일반명사,3
독,일반명사,3
기체,일반명사,3
머금,동사,3
합의,일반명사,3
흙,일반명사,3
기대,일반명사,3
아미노산,일반명사,3
무기,일반명사,3
지속,일반명사,3
실행,일반명사,3
생성,일반명사,3
나트륨,일반명사,3
염소,일반명사,3
이온,일반명사,3
고집,일반명사,3
녹,동사,3
저울,일반명사,3
갱신,일반명사,3
농도,일반명사,3
내보내,동사,3
곱,일반명사,3
통째,일반명사,3
원자량,일반명사,3
리듬,일반명사,3
예고,일반명사,3
성격,일반명사,3
사다리,일반명사,3
망막,일반명사,3
유리,일반명사,3
척추,일반명사,3
직립,일반명사,3
생산,일반명사,3
디폴트,일반명사,3
네트워크,일반명사,3
메타,고유명사,3
수정,일반명사,3
짐작,일반명사,3
밟,동사,3
추론,일반명사,3
유전자,일반명사,3
후회,일반명사,3
